iter	RMSE
0	1.620380927
1	1.549635458
2	1.482425793
3	1.418514928
4	1.358241077
5	1.30197526
6	1.248490052
7	1.197755382
8	1.149955004
9	1.105705124
10	1.063934787
11	1.02503507
12	0.988255603
13	0.9532294071
14	0.9202818067
15	0.8892162048
16	0.8604786976
17	0.8331736938
18	0.8078382097
19	0.7840592161
20	0.7620417477
21	0.7415296148
22	0.7227830406
23	0.7050146641
24	0.6887249334
25	0.6735037591
26	0.6594076153
27	0.646512611
28	0.6343178305
29	0.62335694
30	0.6130522998
31	0.6035853023
32	0.5950834727
33	0.5872789197
34	0.5798643857
35	0.5728464509
36	0.566692204
37	0.5608674276
38	0.5554797615
39	0.5505628134
40	0.5462158471
41	0.5420912224
42	0.5384035678
43	0.5349633931
44	0.5318743093
45	0.5289426723
46	0.5264528205
47	0.5240380783
48	0.5219240999
49	0.5199416685
50	0.5180465718
51	0.5164308858
52	0.5148482927
53	0.513508401
54	0.5123125333
55	0.5111374972
56	0.5100416778
57	0.5090334746
58	0.5081821917
59	0.5073289695
60	0.5065970381
61	0.5058744889
62	0.5052191751
63	0.5046235234
64	0.5040764767
65	0.5036339649
66	0.5031894731
67	0.5027933049
68	0.502446582
69	0.5021501959
70	0.5018566977
71	0.5015824597
72	0.501302897
73	0.5010735163
74	0.5008532114
75	0.5006664573
76	0.5004832628
77	0.5002830839
78	0.5001198403
79	0.4999464971
80	0.4998046263
81	0.4996616302
82	0.4995598878
83	0.4994450346
84	0.4993387441
85	0.4992454486
86	0.4991460006
87	0.4990450764
88	0.4989747487
89	0.4989047215
90	0.4988307318
91	0.4987580487
92	0.4986953299
93	0.4986457534
94	0.4985959784
95	0.4985586251
96	0.4985083088
97	0.4984561833
98	0.4984191847
99	0.4983673397
100	0.4983208946
101	0.4982766454
102	0.4982391695
103	0.4981887179
104	0.4981444513
105	0.4981011923
106	0.4980614062
107	0.498031647
108	0.497994962
109	0.4979630477
110	0.4979219693
111	0.4978878867
112	0.4978470676
113	0.4978115494
114	0.4977764298
115	0.4977485988
116	0.4977130635
117	0.4976900684
118	0.4976644515
119	0.4976363567
120	0.4976131588
121	0.4975862797
122	0.4975579526
123	0.49752793
124	0.4975013371
125	0.4974766952
126	0.4974499422
127	0.4974162852
128	0.4973900031
129	0.4973654948
130	0.4973369815
131	0.4973062426
132	0.4972834377
133	0.4972653615
134	0.4972494335
135	0.4972177892
136	0.4971936426
137	0.4971759832
138	0.4971575262
139	0.4971282971
140	0.497097284
141	0.4970706854
142	0.4970519561
143	0.4970289348
144	0.4970064606
145	0.4969783197
146	0.4969500043
147	0.4969293063
148	0.4969036298
149	0.4968826696
150	0.4968591197
151	0.4968303999
152	0.4968192899
153	0.4967922259
154	0.4967634699
155	0.496740686
156	0.4967164488
157	0.4966886699
158	0.4966683593
159	0.4966455159
160	0.4966227839
161	0.4966026443
162	0.4965825819
163	0.4965596009
164	0.4965423684
165	0.4965214325
166	0.4965026178
167	0.4964777825
168	0.4964479495
169	0.4964303629
170	0.4964014914
171	0.4963826309
172	0.4963567775
173	0.496332619
174	0.4963125684
175	0.4962891745
176	0.4962655785
177	0.4962421371
178	0.4962170081
179	0.4961905312
180	0.4961699891
181	0.4961449308
182	0.4961224099
183	0.4960991832
184	0.496078967
185	0.4960544808
186	0.4960382464
187	0.4960133447
188	0.4959902608
189	0.4959680321
190	0.4959431414
191	0.4959255869
192	0.4959015318
193	0.4958795879
194	0.4958544682
195	0.4958381866
196	0.4958167985
197	0.4957959092
198	0.4957818625
199	0.4957628538
200	0.4957412184
201	0.4957223608
202	0.4957000062
203	0.4956787976
204	0.4956630354
205	0.4956380235
206	0.4956153688
207	0.4955981959
208	0.4955832904
209	0.4955599097
210	0.4955461846
211	0.4955252429
212	0.4955070032
213	0.4954847439
214	0.4954566039
215	0.4954330755
216	0.495415416
217	0.495404769
218	0.4953799356
219	0.4953592114
220	0.4953450455
221	0.4953260374
222	0.4953062653
223	0.4952812855
224	0.4952651076
225	0.4952538243
226	0.4952274736
227	0.4952051408
228	0.4951868484
229	0.4951728963
230	0.4951466466
231	0.4951320519
232	0.4951162261
233	0.4950912043
234	0.4950622988
235	0.4950462457
236	0.4950304452
237	0.4950054168
238	0.4949825053
239	0.4949644268
240	0.4949480998
241	0.4949276519
242	0.4949059033
243	0.4948794763
244	0.4948628408
245	0.4948294951
246	0.4948090538
247	0.4947867408
248	0.494755665
249	0.4947313019
250	0.4947018659
251	0.4946823055
252	0.494659549
253	0.4946362269
254	0.4946185509
255	0.4946029434
256	0.494572903
257	0.4945539921
258	0.4945298137
259	0.4945111891
260	0.4944882958
261	0.4944634975
262	0.4944439419
263	0.4944251319
264	0.4944039538
265	0.494382446
266	0.4943657697
267	0.4943441634
268	0.4943214856
269	0.4942995793
270	0.4942774358
271	0.494255618
272	0.4942325466
273	0.4942136639
274	0.4941915868
275	0.4941744
276	0.4941510445
277	0.4941294212
278	0.4941038821
279	0.4940767137
280	0.4940555965
281	0.4940341918
282	0.4940059484
283	0.4939860777
284	0.4939596359
285	0.4939382994
286	0.4939167723
287	0.4938973514
288	0.493877581
289	0.4938575786
290	0.4938275747
291	0.4938087618
292	0.4937883101
293	0.4937704572
294	0.4937518182
295	0.493724903
296	0.4937019653
297	0.4936833807
298	0.4936638189
299	0.4936456783
