iter	Passed	Remaining
0	7	2327
1	14	2106
2	20	2016
3	25	1915
4	31	1865
5	37	1826
6	42	1788
7	48	1784
8	54	1755
9	59	1736
10	65	1732
11	72	1731
12	78	1728
13	84	1723
14	90	1713
15	95	1698
16	101	1695
17	106	1676
18	112	1664
19	118	1655
20	123	1646
21	129	1632
22	135	1626
23	140	1614
24	145	1599
25	151	1593
26	156	1583
27	161	1570
28	166	1559
29	171	1547
30	177	1537
31	182	1529
32	187	1520
33	193	1511
34	198	1503
35	203	1493
36	208	1482
37	215	1486
38	220	1475
39	225	1465
40	230	1455
41	235	1447
42	240	1439
43	248	1447
44	253	1439
45	259	1434
46	264	1426
47	269	1415
48	275	1409
49	281	1405
50	286	1400
51	291	1392
52	297	1388
53	303	1382
54	309	1376
55	315	1373
56	320	1365
57	326	1360
58	331	1352
59	336	1346
60	341	1339
61	347	1334
62	352	1327
63	358	1322
64	363	1315
65	368	1308
66	374	1301
67	379	1294
68	384	1287
69	389	1280
70	394	1273
71	399	1266
72	405	1259
73	410	1253
74	415	1247
75	420	1239
76	425	1232
77	430	1225
78	435	1217
79	439	1209
80	444	1202
81	449	1195
82	454	1187
83	459	1180
84	464	1174
85	469	1167
86	474	1161
87	479	1154
88	484	1148
89	489	1142
90	494	1136
91	499	1129
92	504	1123
93	509	1116
94	514	1109
95	519	1103
96	523	1096
97	529	1090
98	534	1084
99	539	1078
100	544	1071
101	548	1065
102	553	1058
103	557	1051
104	562	1045
105	567	1039
106	572	1032
107	577	1027
108	582	1020
109	587	1014
110	592	1009
111	597	1003
112	602	997
113	607	991
114	612	985
115	617	979
116	622	973
117	627	967
118	631	960
119	636	954
120	641	948
121	645	942
122	650	936
123	655	930
124	660	924
125	664	917
126	669	912
127	674	906
128	679	900
129	684	895
130	689	889
131	694	883
132	698	877
133	703	871
134	708	866
135	713	859
136	717	854
137	722	848
138	727	842
139	732	837
140	737	831
141	742	826
142	747	820
143	752	815
144	757	809
145	762	803
146	766	798
147	771	792
148	776	786
149	780	780
150	785	775
151	791	770
152	796	765
153	800	759
154	806	754
155	810	748
156	815	742
157	820	737
158	825	732
159	830	726
160	835	721
161	840	715
162	844	710
163	849	704
164	854	699
165	859	693
166	864	688
167	869	683
168	874	677
169	879	672
170	883	666
171	888	661
172	893	656
173	898	650
174	903	645
175	908	640
176	914	635
177	919	629
178	923	624
179	928	619
180	934	614
181	938	608
182	943	603
183	948	598
184	953	592
185	958	587
186	963	582
187	968	577
188	973	571
189	978	566
190	984	561
191	989	556
192	994	551
193	999	546
194	1004	540
195	1009	535
196	1014	530
197	1018	524
198	1023	519
199	1027	513
200	1032	508
201	1037	503
202	1042	498
203	1048	493
204	1053	488
205	1058	482
206	1062	477
207	1067	472
208	1072	467
209	1077	461
210	1082	456
211	1087	451
212	1092	446
213	1097	441
214	1102	435
215	1107	430
216	1112	425
217	1117	420
218	1122	415
219	1127	409
220	1131	404
221	1136	399
222	1141	394
223	1146	389
224	1151	383
225	1156	378
226	1162	373
227	1168	368
228	1173	363
229	1179	358
230	1184	353
231	1189	348
232	1194	343
233	1199	338
234	1205	333
235	1210	328
236	1215	323
237	1220	317
238	1225	312
239	1229	307
240	1234	302
241	1239	297
242	1244	291
243	1249	286
244	1254	281
245	1259	276
246	1264	271
247	1269	266
248	1274	261
249	1280	256
250	1285	250
251	1290	245
252	1295	240
253	1299	235
254	1303	230
255	1308	224
256	1314	219
257	1318	214
258	1323	209
259	1329	204
260	1334	199
261	1338	194
262	1343	189
263	1348	183
264	1352	178
265	1357	173
266	1361	168
267	1366	163
268	1370	157
269	1375	152
270	1379	147
271	1384	142
272	1388	137
273	1393	132
274	1397	127
275	1402	121
276	1407	116
277	1412	111
278	1416	106
279	1421	101
280	1427	96
281	1431	91
282	1436	86
283	1441	81
284	1446	76
285	1451	71
286	1455	65
287	1460	60
288	1465	55
289	1469	50
290	1474	45
291	1479	40
292	1484	35
293	1489	30
294	1493	25
295	1498	20
296	1502	15
297	1507	10
298	1511	5
299	1516	0
